date,total_const_gas,Methane,Ethane,Propane,CO2,Nitrogen,Methane_pct,Ethane_pct,Propane_pct,CO2_pct,Nitrogen_pct
2016-12-03 00:00:00 +0000,325589.1330476917,292470.7003929549,631.5148852356584,34.51088962741947,25336.79741431126,7115.609465562439,0.8982815171233445,0.001939606765509448,0.0001059952133671623,0.07781831407315419,0.02185456682462482
2016-12-04 00:00:00 +0000,325805.0798681922,292624.9183645322,632.6355217030901,34.5876854254401,25388.41390279633,7124.524393735101,0.8981594715555591,0.001941760766772051,0.0001061606695617911,0.07792516283990253,0.0218674441682045
2016-12-05 00:00:00 +0000,321881.4527551392,289200.8818433309,621.7574239937127,34.21942526614755,24975.21703781694,7049.377024731469,0.8984701646147069,0.001931634826026134,0.0001063106462744185,0.07759135179750795,0.02190053811548456
2016-12-06 00:00:00 +0000,294570.1406622111,265019.2864371053,554.5746089418811,33.27224526616202,22312.27370196329,6650.733668934457,0.8996814335673204,0.001882657243178703,0.0001129518599249878,0.07574519824651603,0.02257775908305986
2016-12-07 00:00:00 +0000,308019.2615773646,277216.3045624148,579.6555523255055,33.38769860935043,23334.37318973869,6855.540574276313,0.8999966532702922,0.001881880858220013,0.0001083948401095836,0.07575621430375334,0.0222568567276252
2016-12-08 00:00:00 +0000,305025.7504590215,274808.9940302204,570.0921235140686,33.33271656059078,22811.08034474904,6802.25124397749,0.9009370311085896,0.001868996708166963,0.0001092783691554882,0.07478411350655322,0.02230058030753483
2016-12-09 00:00:00 +0000,311889.2502770828,280850.9405359906,587.3073810144066,33.88358830463272,23521.49060931391,6895.628162459222,0.900482912721366,0.001883063877618873,0.0001086398081194863,0.07541616323235696,0.02210922036053868
2016-12-10 00:00:00 +0000,313315.4252990549,282182.6236797558,587.9935889115178,34.1145484310243,23585.03502400397,6925.65845795258,0.9006343157551747,0.001876682542362179,0.0001088824413878202,0.07527569062867684,0.02210442863239862
2016-12-11 00:00:00 +0000,314789.046890585,283328.2609357988,595.80837339956,33.97120031637833,23901.39464221995,6929.61173885039,0.9000575583377225,0.001892722695674517,0.0001079173518009542,0.0759282919094947,0.0220135097053075
2016-12-12 00:00:00 +0000,317403.857701348,285502.672112475,604.1389616033737,34.02838370045252,24257.21214716473,7005.806096404426,0.8994933904713611,0.001903376241166611,0.0001072084754951861,0.07642381010374753,0.02207221470822934
2016-12-13 00:00:00 +0000,317708.5211892995,285722.0687778721,606.5305341022685,33.97138016739259,24336.60895840311,7009.341538754581,0.8993213896445384,0.001909078585087369,0.0001069262481227298,0.07660042880594531,0.02206217671630602
2016-12-14 00:00:00 +0000,316044.4223198238,284094.4042707038,606.27008444265,33.5398760980727,24362.29890293849,6947.90918564078,0.8989065593545331,0.00191830654688514,0.0001061239298320277,0.07708504622266314,0.02198396394608662
2016-12-15 00:00:00 +0000,317783.6583031053,285530.1421008151,611.888907174646,33.58007356283107,24621.99809331651,6986.049128236162,0.8985047992256215,0.001925488901606829,0.000105669604730908,0.0774803783957695,0.02198366387227123
2016-12-16 00:00:00 +0000,313996.9241040225,282260.3056542053,601.4335104687837,33.45457357285127,24182.20889806681,6919.521467708753,0.8989269766244482,0.001915412108526062,0.000106544271630407,0.07701415855288953,0.0220369084425057
2016-12-17 00:00:00 +0000,290525.7298770725,262051.425819247,531.577837639988,31.59672393406934,21363.46598491662,6547.663511334802,0.9019904224322109,0.00182971001523655,0.0001087570589614853,0.07353381744865058,0.02253729304494048
2016-12-18 00:00:00 +0000,291623.0671093247,263183.3005395399,533.6229134431566,31.32456727239306,21313.98905998181,6560.830029087405,0.9024776508535822,0.001829837806496666,0.0001074145731436601,0.07308745934007871,0.02249763742669868
2016-12-19 00:00:00 +0000,298490.9489834287,268937.7713405002,558.6109642860775,31.58892225019044,22292.96289862302,6670.014857769284,0.9009913776495473,0.001871450260681405,0.0001058287440800899,0.07468555738305035,0.02234578596264097
2016-12-20 00:00:00 +0000,312871.7865975953,281498.8481045822,594.4970827759455,32.43766248607306,23823.70990219156,6922.293845559527,0.8997258946414243,0.001900130047649732,0.0001036771734480273,0.07614528034396652,0.02212501779351149
2016-12-21 00:00:00 +0000,317860.2406000615,285847.3405436561,607.9838377031081,32.88971333517296,24383.70719007439,6988.319315292615,0.8992862397764159,0.00191273950008767,0.0001034722470261875,0.07671203905226538,0.02198550942420467
2016-12-22 00:00:00 +0000,316259.8385138997,284336.5814478211,603.2582592156292,33.275842511063,24303.60785952373,6983.115104828198,0.8990600348874979,0.001907476656063353,0.0001052167820847114,0.07684696221223038,0.02208030946212378
2016-12-23 00:00:00 +0000,319303.0757418415,287067.1140861209,612.6299574386366,33.5353119201902,24557.47449351395,7032.321892847836,0.8990427462033482,0.00191864721633296,0.0001050265859239756,0.07690960832888695,0.02202397166550789
2016-12-24 00:00:00 +0000,323293.6864884432,290583.0292074629,621.4715105416253,33.86657714880894,24943.96831014468,7111.350883145175,0.8988206121923461,0.001922312548976552,0.0001047548361264382,0.07715575451250378,0.0219965659100472
2016-12-25 00:00:00 +0000,316150.0804417818,284318.749440519,602.452791814003,32.92986849060316,24187.58432963898,7008.36401131916,0.8993157586524023,0.001905591138778607,0.0001041589755238639,0.07650665246024842,0.02216783877304669
2016-12-26 00:00:00 +0000,296841.6474346847,267265.9846753835,556.7258278931865,30.6939286860237,22347.39051199288,6640.852490729054,0.9003655214324032,0.001875497702914768,0.0001034016922870549,0.07528387847567809,0.02237170069671665
2016-12-27 00:00:00 +0000,307570.5471573148,276935.0692246803,580.520336328174,31.92848942093073,23243.40184909439,6779.627257791029,0.9003952809663364,0.001887437993311018,0.0001038086699653985,0.07557096108167324,0.02204251128871392
2016-12-28 00:00:00 +0000,309886.8478626767,278817.1411512192,586.8753991131891,32.46355151608826,23599.82661754407,6850.541143284201,0.899738543517582,0.00189383771257455,0.0001047593718158512,0.07615627052362708,0.02210658887440086
2016-12-29 00:00:00 +0000,308732.0116412515,277734.9888875271,583.394715848088,32.63401656497507,23526.33498087425,6854.659040437108,0.8995989350474509,0.001889647635652361,0.000105703378122305,0.07620309554492197,0.02220261839385241
2016-12-30 00:00:00 +0000,316015.5540586783,284151.9741660422,604.5301960758079,33.18494922445097,24263.57218054832,6962.292566787445,0.8991708493983825,0.001912976080802522,0.0001050104933072033,0.07677967704096937,0.02203148698653825
2016-12-31 00:00:00 +0000,312345.7284781119,280842.888459674,597.3625147340921,32.77815823911646,23977.98001943433,6894.719326030382,0.8991411210521947,0.001912504190931982,0.0001049419129207443,0.07676743375446746,0.02207399908948503
2017-01-01 00:00:00 +0000,318120.3214927122,286037.9724614819,609.1111074977576,33.49042039221054,24443.93391787814,6995.813585462214,0.8991502684245675,0.001914719262949418,0.0001052759541894835,0.07683864332583394,0.02199109303245967
2017-01-02 00:00:00 +0000,311957.5585339629,280682.1687748679,589.2019305615718,32.99087455302858,23763.99680549221,6889.200148488184,0.8997447283980778,0.001888724650014932,0.0001057543683444261,0.07617701881361857,0.02208377376994427
2017-01-03 00:00:00 +0000,297865.1242219055,268458.7420410456,551.5407844408251,32.03686938523492,22170.20353951928,6652.600987514556,0.9012761824410417,0.001851646062564662,0.0001075549528294822,0.07443034359068763,0.02233427295287668
