date,gas
1/1/2010,788772.5627
1/2/2010,784346.2509
1/3/2010,788217.1159
1/4/2010,790121.524
1/5/2010,789822.881
1/6/2010,780689.0015
1/7/2010,780773.9599
1/8/2010,782460.9669
1/9/2010,784169.2459
1/10/2010,751971.6708
1/11/2010,755059.8294
1/12/2010,784576.2459
1/13/2010,787511.8141
1/14/2010,779352.0421
1/15/2010,787638.2237
1/16/2010,791684.1298
1/17/2010,775741.9698
1/18/2010,780976.892
1/19/2010,787069.3626
1/20/2010,797720.555
1/21/2010,797532.0942
1/22/2010,800623.0026
1/23/2010,799619.9811
1/24/2010,743281.6319
1/25/2010,672325.3213
1/26/2010,789702.3069
1/27/2010,790473.9819
1/28/2010,793916.3584
1/29/2010,772571.6536
1/30/2010,794870.3183
1/31/2010,790305.3376
2/1/2010,786886.4468
2/2/2010,756132.6191
2/3/2010,765902.8416
2/4/2010,784249.2833
2/5/2010,782762.3533
2/6/2010,786225.136
2/7/2010,781051.5264
2/8/2010,781943.0642
2/9/2010,761015.1105
2/10/2010,732423.7984
2/11/2010,782900.8521
2/12/2010,785017.4188
2/13/2010,792224.9245
2/14/2010,790079.8469
2/15/2010,784438.9375
2/16/2010,785761.424
2/17/2010,783069.6267
2/18/2010,792184.7083
2/19/2010,790505.982
2/20/2010,793860.47
2/21/2010,792386.7012
2/22/2010,784345.6935
2/23/2010,785487.3658
2/24/2010,787241.3769
2/25/2010,793406.4733
2/26/2010,791027.5752
2/27/2010,793488.3742
2/28/2010,788368.6076
3/1/2010,788486.9339
3/2/2010,761686.3285
3/3/2010,757189.2199
3/4/2010,789005.668
3/5/2010,786454.7773
3/6/2010,787845.5352
3/7/2010,783482.0392
3/8/2010,783339.9412
3/9/2010,781761.761
3/10/2010,782935.0038
3/11/2010,783537.3891
3/12/2010,785333.907
3/13/2010,787782.3228
3/14/2010,786867.6411
3/15/2010,785967.5156
3/16/2010,782268.8165
3/17/2010,779643.1652
3/18/2010,780176.1068
3/19/2010,783321.4929
3/20/2010,784061.1622
3/21/2010,786128.7225
3/22/2010,788915.7138
3/23/2010,789227.5147
3/24/2010,787578.4953
3/25/2010,788320.4195
3/26/2010,789757.5705
3/27/2010,791153.5762
3/28/2010,780455.7755
3/29/2010,775139.1893
3/30/2010,776226.1329
3/31/2010,779078.3232
4/1/2010,783842.2221
4/2/2010,776022.6948
4/3/2010,780883.4211
4/4/2010,785633.8501
4/5/2010,778390.1717
4/6/2010,771911.6207
4/7/2010,779271.6624
4/8/2010,776664.2301
4/9/2010,780530.6287
4/10/2010,776245.8861
4/11/2010,755302.5356
4/12/2010,748101.1386
4/13/2010,772491.1556
4/14/2010,773827.8665
4/15/2010,774866.034
4/16/2010,777300.8852
4/17/2010,779955.9899
4/18/2010,776345.4808
4/19/2010,774026.2221
4/20/2010,780639.6682
4/21/2010,783299.5909
4/22/2010,784639.6069
4/23/2010,788122.4129
4/24/2010,784187.2173
4/25/2010,781893.8792
4/26/2010,780256.2757
4/27/2010,781205.046
4/28/2010,784596.0768
4/29/2010,791862.6872
4/30/2010,794717.7683
5/1/2010,793280.0195
5/2/2010,777085.2126
5/3/2010,789847.3704
5/4/2010,787982.7622
5/5/2010,784726.3134
5/6/2010,784544.9908
5/7/2010,786212.0521
5/8/2010,786579.1711
5/9/2010,782083.5995
5/10/2010,780547.4055
5/11/2010,781001.9794
5/12/2010,779156.4648
5/13/2010,777635.9096
5/14/2010,772644.0071
5/15/2010,770131.6603
5/16/2010,767734.9669
5/17/2010,754470.3561
5/18/2010,631162.9287
5/19/2010,645221.0009
5/20/2010,739620.1625
5/21/2010,754001.0355
5/22/2010,767937.106
5/23/2010,768150.1106
5/24/2010,772257.4121
5/25/2010,768285.4865
5/26/2010,760267.1046
5/27/2010,755025.904
5/28/2010,754560.5748
5/29/2010,763255.7405
5/30/2010,760530.6451
5/31/2010,759837.9661
6/1/2010,760065.8397
6/2/2010,760678.3959
6/3/2010,762530.8775
6/4/2010,761314.5256
6/5/2010,763543.7219
6/6/2010,764709.8453
6/7/2010,760991.8352
6/8/2010,757413.0585
6/9/2010,758725.0978
6/10/2010,762616.0753
6/11/2010,763889.7684
6/12/2010,766318.9436
6/13/2010,768428.427
6/14/2010,766860.2404
6/15/2010,765437.5825
6/16/2010,765249.2781
6/17/2010,766202.6647
6/18/2010,774691.3833
6/19/2010,771536.6243
6/20/2010,766540.6539
6/21/2010,764921.1567
6/22/2010,764800.3741
6/23/2010,761209.2989
6/24/2010,755597.6444
6/25/2010,763126.1178
6/26/2010,771520.2345
6/27/2010,771518.2511
6/28/2010,767946.7619
6/29/2010,771056.7682
6/30/2010,767429.9516
7/1/2010,767703.4074
7/2/2010,772599.6938
7/3/2010,777906.1468
7/4/2010,778530.6571
7/5/2010,780640.123
7/6/2010,779290.934
7/7/2010,779426.6083
7/8/2010,777309.6109
7/9/2010,775419.3305
7/10/2010,776707.5563
7/11/2010,777869.3175
7/12/2010,757691.3163
7/13/2010,723269.1642
7/14/2010,720048.9327
7/15/2010,757346.0372
7/16/2010,775947.5368
7/17/2010,778892.3674
7/18/2010,778516.3071
7/19/2010,777620.6003
7/20/2010,776461.3112
7/21/2010,779432.1084
7/22/2010,775149.1549
7/23/2010,777120.1746
7/24/2010,777987.907
7/25/2010,771611.9574
7/26/2010,772056.6175
7/27/2010,768556.8457
7/28/2010,779711.5759
